name	investment	area	industry	time	operationmode	mechanism	level	term	people	tele	schedule	overview	scope
贵州省贵安新区小寨水厂项目	7.7383亿元	贵州省	市政工程	待定	TOT	财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		建设规模20万吨/日。	
													
贵州省黔东南州三穗县城供水二期工程	1.00亿元	贵州省	市政工程	待定	BOOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		输水工程：新建塘冲水库至县城输水管道（DN700）15公里。净水工程：新建给水处理厂一座，日供水规模为2万吨/日。配水工程：新建配水管网47.774公里。	
													
贵州省铜仁市松桃县供水、污水处理项目	3.808亿元	贵州省	市政工程	待定	BOT	特许经营、匹配资源	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		新增县城供水能力2.5万吨/日，污水处理能力0.7万吨/日；新增工业园区污水处理能力2万吨/日；新增15个重点乡镇城镇污水处理能力0.99万吨/日；管网总长189868米，其中供水管网20110米，污水收集管网169758米。	
													
贵州省黔东南州凯里经济开发区（新城区）供水管网铺设工程	4.20亿元	贵州省	市政工程	待定	股权合作	股权合作	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		安装PE100聚乙烯给水管90km，管径为DN100-DN600	
													
贵州省黔东南州黎平县城区供水工程	7.70亿元	贵州省	市政工程	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		工程项目内容包括取水工程、输水工程、净水厂、管网等。新建水厂取水工程、输水工程、净水设施的建设规模为2.0万吨/日，配水管网的规模按最高日3.8万吨/日计算。新建水厂输入管道规模为2X1.05设计，新建水厂位于城东北东屯坡坡地。	
													
